region,fueltech,interval,power,emissions
NSW1,hydro,2026-08-10 13:30:00+10:00,67.39999999999999,0.0
NSW1,hydro,2026-08-10 14:00:00+10:00,67.0,0.0
NSW1,hydro,2026-08-10 14:30:00+10:00,67.95,0.0
NSW1,hydro,2026-08-10 15:00:00+10:00,67.09495,0.0
NSW1,hydro,2026-08-10 15:30:00+10:00,138.72803333333334,0.0
NSW1,hydro,2026-08-10 16:00:00+10:00,316.7655833333333,0.0
NSW1,hydro,2026-08-10 16:30:00+10:00,560.1982833333333,0.0
NSW1,hydro,2026-08-10 17:00:00+10:00,904.2416166666667,0.0
NSW1,hydro,2026-08-10 17:30:00+10:00,1058.53865,0.0
NSW1,hydro,2026-08-10 18:00:00+10:00,961.5486833333333,0.0
NSW1,hydro,2026-08-10 18:30:00+10:00,827.8210333333333,0.0
NSW1,hydro,2026-08-10 19:00:00+10:00,676.1887,0.0
NSW1,hydro,2026-08-10 19:30:00+10:00,549.3738833333333,0.0
NSW1,hydro,2026-08-10 20:00:00+10:00,507.05836666666664,0.0
NSW1,hydro,2026-08-10 20:30:00+10:00,497.97093333333333,0.0
NSW1,hydro,2026-08-10 21:00:00+10:00,497.6021166666667,0.0
NSW1,hydro,2026-08-10 21:30:00+10:00,547.4178666666667,0.0
NSW1,hydro,2026-08-10 22:00:00+10:00,545.2117999999999,0.0
NSW1,hydro,2026-08-10 22:30:00+10:00,491.5769666666667,0.0
NSW1,hydro,2026-08-10 23:00:00+10:00,519.39325,0.0
NSW1,hydro,2026-08-10 23:30:00+10:00,495.83570000000003,0.0
NSW1,pumps,2026-08-10 00:00:00+10:00,21.02375,0.0
NSW1,pumps,2026-08-10 00:30:00+10:00,43.74228333333334,0.0
NSW1,pumps,2026-08-10 01:00:00+10:00,43.69341666666666,0.0
NSW1,pumps,2026-08-10 01:30:00+10:00,43.668749999999996,0.0
NSW1,pumps,2026-08-10 02:00:00+10:00,43.66063333333333,0.0
NSW1,pumps,2026-08-10 02:30:00+10:00,43.65275,0.0
NSW1,pumps,2026-08-10 03:00:00+10:00,43.603133333333325,0.0
NSW1,pumps,2026-08-10 03:30:00+10:00,43.595,0.0
NSW1,pumps,2026-08-10 04:00:00+10:00,43.603133333333325,0.0
NSW1,pumps,2026-08-10 04:30:00+10:00,43.57059999999999,0.0
NSW1,pumps,2026-08-10 05:00:00+10:00,43.562466666666666,0.0
NSW1,pumps,2026-08-10 05:30:00+10:00,36.31303333333333,0.0
NSW1,pumps,2026-08-10 06:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 06:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 07:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 07:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 08:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 08:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 09:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 09:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 10:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 10:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 11:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 11:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 12:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 12:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 13:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 13:30:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 14:00:00+10:00,0.0,0.0
NSW1,pumps,2026-08-10 14:30:00+10:00,0.0,0.0
